key,en,gl,gu,el,nl,ne,no,da,de,lo,lv,ru,ro,lt,mr,mk,ml,ms,ms,mn,eu,my,vi,be,bn,bg,sr,sw,sv,es,sk,sl,si,ar,hy,is,az,af,sq,am,et,en,ur,uk,it,id,ja,ka,zu,zh-CN,zh-TW,zh-HK,cs,kk,ca,kn,hr,km,ky,ta,th,tr,te,pa,fa,pt,pl,fr,fi,fil,ko,hu,iw,hi
formula_name,Please specify a name of the formula to be saved,Especifique un nome da fórmula a gardar,કૃપા કરીને સચવા માટે ફોર્મ્યુલાનું નામ સ્પષ્ટ કરો,Καθορίστε ένα όνομα του τύπου που θα αποθηκευτεί,Geef een naam op van de formule die moet worden opgeslagen,कृपया बचत गर्न सूत्रको नाम निर्दिष्ट गर्नुहोस्,Vennligst spesifiser et navn på formelen som skal lagres,"Angiv venligst et navn på formlen, der skal gemmes","Bitte geben Sie einen Namen der Formel an, die gespeichert werden soll",ກະລຸນາລະບຸຊື່ຂອງສູດທີ່ຈະໄດ້ຮັບຄວາມລອດ,"Lūdzu, norādiet nosaukumu formulu, kas jāsaglabā","Пожалуйста, укажите имя формулы, которая будет сохранена",Specificați un nume al formulei care trebuie salvat,Nurodykite išsaugoto formulės pavadinimą,कृपया जतन करण्यासाठी सूत्राचे नाव निर्दिष्ट करा,Ве молиме наведете име на формулата за зачувување,സംരക്ഷിക്കേണ്ട സൂത്രവാക്യത്തിന്റെ പേര് ദയവായി വ്യക്തമാക്കുക,Sila nyatakan nama formula yang akan disimpan,Sila nyatakan nama formula yang akan disimpan,Хадгалагдахын тулд томъёоны нэрийг тодорхойлно уу,"Mesedez, zehaztu gorde beharreko formularen izena",သိမ်းဆည်းထားရန်ပုံသေနည်း၏အမည်ကိုဖော်ပြပါ,Vui lòng chỉ định tên của công thức sẽ được lưu,"Калі ласка, пакажыце імя формулы, каб выратавацца",সংরক্ষণ করার জন্য সূত্রের একটি নাম উল্লেখ করুন,"Моля, посочете името на формулата, която трябва да бъде запазена",Молимо наведите име формуле која ће се сачувати,Tafadhali taja jina la formula kuokolewa,Ange ett namn på formeln som ska sparas,"Por favor, especifique un nombre de la fórmula para ser guardado","Uveďte názov vzorca, ktorý sa má uložiť","Navedite ime formule, ki jo želite shraniti",සුරැකීම සඳහා කරුණාකර සූත්රයේ නමක් සඳහන් කරන්න,يرجى تحديد اسم الصيغة المراد حفظها,Նշեք պահելու բանաձեւի անունը,Vinsamlegast tilgreindu heiti formúlunnar sem á að vera vistuð,Xahiş edirəm xilas olmaq üçün düsturun adını göstərin,Spesifiseer asseblief 'n naam van die formule wat gestoor moet word,Ju lutemi specifikoni një emër të formulës për t'u shpëtuar,እባክዎን ለመዳን የቀመርን ስም ይግለጹ,Palun täpsustage salvestatud valemi nimi,Please specify a name of the formula to be saved,براہ کرم فارمولہ کا نام محفوظ کرنے کے لئے وضاحت کریں,"Будь ласка, вкажіть назву формули, яку потрібно зберегти",Si prega di specificare un nome della formula da salvare,Silakan tentukan nama formula yang akan disimpan,保存する式の名前を指定してください,"გთხოვთ, მიუთითოთ ფორმულის სახელი, რომელიც შენახულია",Sicela usho igama lefomula ukuze lisindiswe,请指定要保存的公式的名称,請指定要保存的公式的名稱,請指定要保存的公式的名稱,"Uveďte prosím název vzorce, které mají být uloženy",Сақталатын формула атауын көрсетіңіз,Especifiqueu un nom de la fórmula que s'ha de desar,ದಯವಿಟ್ಟು ಉಳಿಸಲು ಸೂತ್ರದ ಹೆಸರನ್ನು ನಿರ್ದಿಷ್ಟಪಡಿಸಿ,Navedite naziv formule za spremanje,សូមបញ្ជាក់ឈ្មោះរូបមន្តដែលត្រូវរក្សាទុក,"Сураныч, сакталуучу формуланын аталышы белгилеңиз",சேமிக்கப்படும் சூத்திரத்தின் பெயரை குறிப்பிடவும்,โปรดระบุชื่อของสูตรที่จะบันทึก,Lütfen kaydedilecek formülün bir adını belirtin,దయచేసి ఫార్ములా యొక్క పేరును సేవ్ చేయమని పేర్కొనండి,ਸੁਰੱਖਿਅਤ ਕਰਨ ਲਈ ਫਾਰਮੂਲੇ ਦਾ ਇੱਕ ਨਾਮ ਦੱਸੋ,لطفا نام فرمول را ذخیره کنید,"Por favor, especifique um nome da fórmula a ser salva","Proszę podać nazwę formuły, która ma zostać zapisana",Veuillez spécifier un nom de la formule à enregistrer,Määritä tallennettavan kaavan nimi,Mangyaring tukuyin ang isang pangalan ng formula upang mai-save,저장할 수식의 이름을 지정하십시오.,"Kérjük, adja meg a mentendő képlet nevét",ציין שם של הנוסחה שישמרו,कृपया सहेजने के लिए सूत्र का नाम निर्दिष्ट करें
ok,OK,Ok,બરાબર,Εντάξει,Oke,ठिक छ,OK,Okay,OK,ຕົກ​ລົງ,labi,Ok,Bine,Gerai,ठीक आहे,добро,ശരി,okey,okey,БОЛЖ БАЙНА УУ,Ados,အိုကေ,VÂNG,добра,ঠিক আছে,Добре,У реду,sawa,OK,OK,V poriadku,v redu,හරි,نعم,լավ,Allt í lagi,tamam,Ok,Ne rregull,እሺ,Okei,OK,ٹھیک ہے,в порядку,ok,oke,わかった,კარგი,KULUNGILE,好的,好的,好的,OK,ЖАРАЙДЫ МА,D'acord,ಸರಿ,u redu,យល់ព្រម,Макул,சரி,ตกลง,Tamam,అలాగే,ਠੀਕ ਹੈ,خوب,OK,ok,d'accord,Ok,Ok.,좋아요,rendben,בסדר,ठीक है
error,Error,Erro.,ભૂલ,Λάθος,Fout,त्रुटि,Feil,Fejl,Fehler,ຜິດ,Kļūda,Ошибка,Eroare,Klaida,त्रुटी,ГРЕШКА,പിശക്,Kesilapan,Kesilapan,Алдаа,Errakuntza,အမှား,Lỗi,Памылка,ত্রুটি,Грешка,Грешка,Hitilafu,Fel,Error,Chyba,Napaka,දෝෂයකි,خطأ,Սխալ,Villa.,Səhv,Fout,Gabim,ስህተት,Viga,Error,غلطی,Помилка,Errore,Kesalahan,エラー,შეცდომა,Ukuphambeka,错误,錯誤,錯誤,Chyba,Қателік,Error,ದೋಷ,Pogreška,កមហុស,Ката,பிழை,ข้อผิดพลาด,Hata,లోపం,ਗਲਤੀ,خطا,Erro,Błąd,Erreur,Virhe,ERROR.,오류,Hiba,שְׁגִיאָה,त्रुटि
please_specify,Please specify a formula name,Especifique un nome de fórmula,કૃપા કરીને ફોર્મ્યુલા નામનો ઉલ્લેખ કરો,Προσδιορίστε ένα όνομα φόρμουλα,Geef een formule-naam op,कृपया एक सूत्र नाम निर्दिष्ट गर्नुहोस्,Vennligst spesifiser et formelnavn,Angiv venligst et formelnavn,Bitte geben Sie einen Formelamen an,ກະລຸນາລະບຸຊື່ສູດ,"Lūdzu, norādiet formulas nosaukumu","Пожалуйста, укажите имя формулы",Specificați un nume de formulă,Nurodykite formulės pavadinimą,कृपया फॉर्म्युला नाव निर्दिष्ट करा,Ве молиме наведете го името на формулата,ഒരു ഫോർമുല നാമം വ്യക്തമാക്കുക,Sila nyatakan nama formula,Sila nyatakan nama formula,Томъёог нэрийг тодорхойлно уу,"Mesedez, zehaztu formula izen bat",ကျေးဇူးပြု. ဖော်မြူလာနာမည်ကိုဖော်ပြပါ,Vui lòng chỉ định tên công thức,"Калі ласка, пакажыце формуле імя",একটি সূত্র নাম উল্লেখ করুন,"Моля, посочете името на формула",Молимо наведите име формуле,Tafadhali taja jina la formula.,Ange ett formelnamn,"Por favor, especifique un nombre de fórmula",Uveďte názov vzorca,Navedite ime formule,කරුණාකර සූත්ර නාමයක් සඳහන් කරන්න,يرجى تحديد اسم الصيغة,Նշեք բանաձեւի անունը,Vinsamlegast tilgreindu formúluheiti,Zəhmət olmasa bir formul adını göstərin,Spesifiseer asseblief 'n formule naam,Ju lutemi specifikoni një emër të formulës,እባክዎን ቀመር ስም ይጥቀሱ,Palun täpsustage valemi nimi,Please specify a formula name,براہ کرم فارمولہ کا نام بیان کریں,Вкажіть назву формули,Si prega di specificare un nome di formula,Silakan tentukan nama formula,式名を指定してください,გთხოვთ მიუთითოთ ფორმულის სახელი,Sicela usho igama lefomula,请指定公式名称,請指定公式名稱,請指定公式名稱,Uveďte prosím název vzorce,Формула атауын көрсетіңіз,Especifiqueu un nom de fórmula,ದಯವಿಟ್ಟು ಫಾರ್ಮುಲಾ ಹೆಸರನ್ನು ಸೂಚಿಸಿ,Navedite naziv formule,សូមបញ្ជាក់ឈ្មោះរូបមន្ត,"Сураныч, формуланын аталышы белгилеңиз",ஒரு ஃபார்முலா பெயரை குறிப்பிடவும்,โปรดระบุชื่อสูตร,Lütfen bir formül adını belirtin,దయచేసి ఫార్ములా పేరును పేర్కొనండి,ਕਿਰਪਾ ਕਰਕੇ ਫਾਰਮੂਲਾ ਨਾਮ ਦੱਸੋ,لطفا نام فرمول را مشخص کنید,"Por favor, especifique um nome de fórmula",Określ nazwę formuł,Veuillez spécifier un nom de formule,Määritä kaava nimi,Mangyaring tukuyin ang isang pangalan ng formula.,수식 이름을 지정하십시오,"Kérjük, adja meg a képlet nevét",ציין שם נוסחה,कृपया एक सूत्र का नाम निर्दिष्ट करें
settings,Settings,Configuración,ગોઠવણીઓ,Ρυθμίσεις,Instellingen,बतंग,Innstillinger,Indstillinger.,Einstellungen,ການກໍານົດ,Iestatījumi,Настройки,Setări.,Nustatymai. \ T,सेटिंग्ज,Поставки,ക്രമീകരണങ്ങൾ,Tetapan,Tetapan,Тохиргоо,Ezarpen,ဆက်တင်များ,Cài đặt,Налада,সেটিংস,Настройки,Подешавања,Mipangilio,inställningar,Ajustes,nastavenie,Nastavitve,සැකසුම්,إعدادات,Կարգավորումներ,Stillingar,Parametrlər,Instelling,Parametrat,ቅንብሮች,Seaded,Settings,ترتیبات,Налаштування,Impostazioni,Pengaturan,設定,შეხვედრა,Amasethingi,设置,設置,設置,Nastavení,Параметрлер,Parada,ಸಂಯೋಜನೆಗಳು,Postavke,ការកំណត់,Жөндөөлөр,அமைப்புகள்,การตั้งค่า,Ayarlar,సెట్టింగులు,ਸੈਟਿੰਗਜ਼,تنظیمات,Definições,Ustawienia,Paramètres,asetukset,Mga setting,설정,Beállítások,הגדרות,समायोजन
success,Success,Éxito,સફળતા,Επιτυχία,Succes,सफलता,Suksess,Succes,Erfolg,ຄວາມ​ສໍາ​ເລັດ,Panākumi,Успех,Succes,Sėkmė,यश,УСПЕХ,പിന്തുടര്ച്ച,Kejayaan,Kejayaan,Амжилт,Arrakasta,အောင်မြင်ခြင်း,Sự thành công,Поспех,সাফল্য,Успех,Успех,Mafanikio,Framgång,Éxito,Úspech,Uspeh.,සාර්ථකත්වය,النجاح,Հաջողություն,Árangur,Müvəffəqiyyət,Sukses,Sukses,ስኬት,Edu,Success,کامیابی,Успіх,Successo,Kesuksesan,成功,წარმატება,Impumelelo,成功,成功,成功,Úspěch,Жетістік,Èxit,ಯಶಸ್ಸು,Uspjeh,ចោកច័យ,Ийгилик,வெற்றி,ความสำเร็จ,Başarı,విజయం,ਸਫਲਤਾ,موفقیت,Sucesso,Powodzenie,Succès,Menestys,Tagumpay,성공,Siker,הַצלָחָה,सफलता
cannot_store,Cannot store more than 10 formulas,Non pode almacenar máis de 10 fórmulas,10 ફોર્મ્યુલાથી વધુ સંગ્રહિત કરી શકતા નથી,Δεν μπορεί να αποθηκεύσει περισσότερους από 10 τύπους,Kan niet meer dan 10 formules opslaan,10 भन्दा बढी सूत्रहरू भण्डार गर्न सक्दैन,Kan ikke lagre mer enn 10 formler,Kan ikke gemme mere end 10 formler,Kann nicht mehr als 10 Formeln gespeichert werden,ບໍ່ສາມາດເກັບໄດ້ຫຼາຍກ່ວາ 10 ສູດ,Nevar saglabāt vairāk nekā 10 formulas,Не может хранить более 10 формул,Nu pot stoca mai mult de 10 formule,Negali saugoti daugiau nei 10 formulių,10 पेक्षा जास्त सूत्रांची साठवण करू शकत नाही,Не може да складира повеќе од 10 формули,10 ൽ കൂടുതൽ സൂത്രവാക്യങ്ങൾ സൂക്ഷിക്കാൻ കഴിയില്ല,Tidak boleh menyimpan lebih daripada 10 formula,Tidak boleh menyimpan lebih daripada 10 formula,10-аас дээш томъёог хадгалах боломжгүй,Ezin da 10 formula baino gehiago gorde,ထက်ပို fingulas ထက်ပိုမသိမ်းဆည်းနိုင်ပါ,Không thể lưu trữ nhiều hơn 10 công thức,Не можа захоўваць больш за 10 формул,10 টির বেশি সূত্র সংরক্ষণ করতে পারবেন না,Не може да съхранява повече от 10 формула,Не може да смешта више од 10 формула,Haiwezi kuhifadhi formula zaidi ya 10.,Kan inte lagra mer än 10 formler,No se puede almacenar más de 10 fórmulas.,Nemôže uchovávať viac ako 10 vzorcov,Ne more shraniti več kot 10 formul,සූත්ර 10 කට වඩා ගබඩා කළ නොහැක,لا يمكن تخزين أكثر من 10 صيغ,Չի կարող պահպանել ավելի քան 10 բանաձեւ,Ekki er hægt að geyma meira en 10 formúlur,10-dan çox düstur saxlaya bilmir,Kan nie meer as 10 formules stoor nie,Nuk mund të ruajë më shumë se 10 formula,ከ 10 በላይ ቀመሮችን ማከማቸት አይቻልም,Ei saa salvestada rohkem kui 10 valemit,Cannot store more than 10 formulas,10 سے زائد فارمولوں کو ذخیرہ نہیں کر سکتے ہیں,Не може зберігати більше 10 формул,Non è possibile memorizzare più di 10 formule,Tidak dapat menyimpan lebih dari 10 formula,10の式を保存できません,არ შეიძლება 10-ზე მეტი ფორმულის შენახვა,Ayikwazi ukugcina amafomula angaphezu kwe-10,无法存储超过10个公式,無法存儲超過10個公式,無法存儲超過10個公式,Nemůže uložit více než 10 vzorců,10-нан астам формуланы сақтау мүмкін емес,No es pot emmagatzemar més de 10 fórmules,10 ಕ್ಕೂ ಹೆಚ್ಚು ಸೂತ್ರಗಳನ್ನು ಸಂಗ್ರಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ,Ne može pohraniti više od 10 formula,មិនអាចរក្សាទុករូបមន្តច្រើនជាង 10 ទេ,10дон ашык формуланы сактай албайт,10 க்கும் மேற்பட்ட சூத்திரங்களை சேமிக்க முடியாது,ไม่ควรเก็บสูตรมากกว่า 10 สูตร,10'dan fazla formül depolamıyor,10 కంటే ఎక్కువ సూత్రాలను నిల్వ చేయలేరు,10 ਤੋਂ ਵੱਧ ਫਾਰਮੂਲੇ ਸਟੋਰ ਨਹੀਂ ਕਰ ਸਕਦਾ,نمی تواند بیش از 10 فرمول را ذخیره کند,Não é possível armazenar mais de 10 fórmulas,Nie może przechowywać więcej niż 10 formuł,Ne peut pas stocker plus de 10 formules,Yli 10 kaavaa ei voi tallentaa,Hindi maaaring mag-imbak ng higit sa 10 mga formula,10 개 이상의 수식을 저장할 수 없습니다,Nem tud több mint 10 képletet tárolni,לא יכול לאחסן יותר מ 10 נוסחאות,10 से अधिक सूत्रों को स्टोर नहीं कर सकते
formula_saved,Formula saved successfully,Fórmula gardada con éxito,ફોર્મ્યુલા સફળતાપૂર્વક સાચવ્યું,Ο τύπος αποθηκεύτηκε με επιτυχία,Formule succesvol opgeslagen,सूत्र सफलतापूर्वक बचत,Formelen lagret vellykket,Formula gemt succesfuldt,Erfolgreiche Formel erfolgreich gespeichert,ສູດທີ່ຖືກບັນທຶກຢ່າງສໍາເລັດຜົນ,Formula veiksmīgi saglabāta,Формула сохранена успешно,Formula salvată cu succes,Formulė sėkmingai išsaugota.,फॉर्म्युला यशस्वीरित्या जतन केले,Формулата успешно спаси,ഫോർമുല വിജയകരമായി സംരക്ഷിച്ചു,Formula disimpan dengan jayanya,Formula disimpan dengan jayanya,Томъёо амжилттай хадгалсан,Formula arrakastaz gorde da,ဖော်မြူလာအောင်မြင်စွာစုဆောင်းခဲ့သည်,Công thức tiết kiệm thành công,Формула захаваны паспяхова,সূত্র সফলভাবে সংরক্ষিত,Формула е спасена успешно,Формула је успешно сачувана,Formula imehifadhiwa kwa mafanikio.,Formulär sparas framgångsrikt,Fórmula guardada con éxito,Receptor úspešne uložil,Formula je uspešno shranjena,සූත්රය සාර්ථකව සුරකින ලදි,صيغة محفوظة بنجاح,Բանաձեւը հաջողությամբ փրկվեց,Formúla vistuð með góðum árangri,Formula uğurla qeyd edildi,Formule suksesvol gered,Formula u ruajt me sukses,ቀመር በተሳካ ሁኔታ ተቋቁሟል,Valem salvestatud edukalt salvestatud,Formula saved successfully,فارمولہ کامیابی سے بچا لیا,Формула зберегла успішно,Formula salvata con successo,Formula berhasil diselamatkan,式は正常に保存されました,ფორმულა გადაარჩინა წარმატებით,Ifomula eligciniwe ngempumelelo,公式成功保存,公式成功保存,公式成功保存,Formule úspěšně uložil,Формула сәтті сақталды,La fórmula va salvar correctament,ಫಾರ್ಮುಲಾ ಯಶಸ್ವಿಯಾಗಿ ಉಳಿಸಲಾಗಿದೆ,Formula je uspješno spremala,រូបមន្តបានរក្សាទុកដោយជោគជ័យ,Формула ийгиликтүү сакталды,சூத்திரம் வெற்றிகரமாக சேமிக்கப்பட்டது,บันทึกสูตรสำเร็จแล้ว,Formula başarıyla kaydedildi,ఫార్ములా విజయవంతంగా సేవ్ చేయబడింది,ਫਾਰਮੂਲਾ ਸਫਲਤਾਪੂਰਵਕ ਬਚਾਇਆ ਗਿਆ,فرمول با موفقیت ذخیره شد,Fórmula salva com sucesso,Formuła zapisana pomyślnie,Formule sauvée avec succès,Kaava tallensi onnistuneesti,Matagumpay na na-save ang formula,수식이 성공적으로 저장되었습니다,A képlet sikeresen mentett,נוסחה הצילה בהצלחה,फॉर्मूला सफलतापूर्वक सहेजा गया
cancel,CANCEL,Cancelar.,રદ કરવું,ΜΑΤΑΙΩΣΗ,ANNULEER,रद्द गर्नु,AVBRYT,AFBESTILLE,ABBRECHEN,ຍົກເລີກ,Atcelt,ОТМЕНА,ANULARE,Atšaukti,रद्द करा,Откажи,റദ്ദാക്കുക,Membatalkan,Membatalkan,Цуаах,Indargabetu,ပျက်စေ,SỰ HỦY BỎ,Ануляваць,বাতিল করুন,Отказ,"ПОНИШТИТИ, ОТКАЗАТИ",Futa.,AVBRYT,CANCELAR,ZRUŠIŤ,Prekliči,අවලංගු කරන්න,إلغاء,Չեղարկել,Hætta við,Ləğv etmək,Kanselleer,Anuloj,ይቅር,Tühistama,CANCEL,منسوخ,Скасувати,ANNULLA,MEMBATALKAN,キャンセル,გაუქმება,Hlikihla,取消,取消,取消,ZRUŠENÍ,Күшін жою,CANCEL · LAR,ರದ್ದುಮಾಡು,OTKAZATI,លប់ចោល,Жокко чыгаруу,ரத்துசெய்,ยกเลิก,İPTAL ETMEK,రద్దు చేయండి,ਰੱਦ ਕਰੋ,لغو کردن,CANCELAR,ANULUJ,ANNULER,PERUUTTAA,Kanselahin,취소,MEGSZÜNTETI,לְבַטֵל,रद्द करना
